************************************************
***** POSSIBLE INFEASBILE EQUATIONS ************
************************************************
************************************************
****** ACTIVE OBJECTIVE EQUATIONS **************
************************************************
Number           ID  Node    Horizon  Unscaled Res  Scaled Res   Scaling     Name
       551          2    2         56  -2.7756E-17  -2.7756E-17   1.0000E+00  p(56).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       552          3    2         56   2.6290E-13   2.6290E-13   1.0000E+00  p(56).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       553          4    2         56  -2.2204E-16  -2.2204E-16   1.0000E+00  p(56).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       554          5    2         56   6.9389E-18   6.9389E-18   1.0000E+00  p(56).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       555          6    2         56   4.6566E-10   4.6566E-10   1.0000E+00  p(56).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       556          7    2         56  -1.7462E-10  -1.7462E-10   1.0000E+00  p(56).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       557          8    2         56   0.0000E+00   0.0000E+00   1.0000E+00  p(56).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       558          9    2         56  -1.1435E-14  -1.1435E-14   1.0000E+00  p(56).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       559         10    2         56   8.5265E-14   8.5265E-14   1.0000E+00  p(56).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       560         11    2         56   2.7756E-17   2.7756E-17   1.0000E+00  p(56).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       561          2    2         57   0.0000E+00   0.0000E+00   1.0000E+00  p(57).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       562          3    2         57   7.9936E-14   7.9936E-14   1.0000E+00  p(57).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       563          4    2         57   0.0000E+00   0.0000E+00   1.0000E+00  p(57).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       564          5    2         57  -6.9389E-18  -6.9389E-18   1.0000E+00  p(57).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       565          6    2         57  -2.3283E-10  -2.3283E-10   1.0000E+00  p(57).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       566          7    2         57  -2.9104E-10  -2.9104E-10   1.0000E+00  p(57).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       567          8    2         57  -7.1054E-15  -7.1054E-15   1.0000E+00  p(57).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       568          9    2         57  -1.3073E-14  -1.3073E-14   1.0000E+00  p(57).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       569         10    2         57  -2.8422E-14  -2.8422E-14   1.0000E+00  p(57).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       570         11    2         57   0.0000E+00   0.0000E+00   1.0000E+00  p(57).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       571          2    2         58   2.7756E-17   2.7756E-17   1.0000E+00  p(58).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       572          3    2         58   2.5224E-13   2.5224E-13   1.0000E+00  p(58).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       573          4    2         58   0.0000E+00   0.0000E+00   1.0000E+00  p(58).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       574          5    2         58   6.9389E-18   6.9389E-18   1.0000E+00  p(58).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       575          6    2         58  -4.6566E-10  -4.6566E-10   1.0000E+00  p(58).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       576          7    2         58  -1.7462E-10  -1.7462E-10   1.0000E+00  p(58).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       577          8    2         58  -7.1054E-15  -7.1054E-15   1.0000E+00  p(58).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       578          9    2         58  -1.2823E-14  -1.2823E-14   1.0000E+00  p(58).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       579         10    2         58   0.0000E+00   0.0000E+00   1.0000E+00  p(58).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       580         11    2         58  -2.7756E-17  -2.7756E-17   1.0000E+00  p(58).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       581          2    2         59  -2.7756E-17  -2.7756E-17   1.0000E+00  p(59).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       582          3    2         59  -2.8599E-13  -2.8599E-13   1.0000E+00  p(59).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       583          4    2         59   0.0000E+00   0.0000E+00   1.0000E+00  p(59).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       584          5    2         59   0.0000E+00   0.0000E+00   1.0000E+00  p(59).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       585          6    2         59   2.3283E-10   2.3283E-10   1.0000E+00  p(59).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       586          7    2         59  -2.0373E-10  -2.0373E-10   1.0000E+00  p(59).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       587          8    2         59  -1.4211E-14  -1.4211E-14   1.0000E+00  p(59).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       588          9    2         59  -1.5848E-14  -1.5848E-14   1.0000E+00  p(59).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       589         10    2         59   1.7053E-13   1.7053E-13   1.0000E+00  p(59).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       590         11    2         59   2.7756E-17   2.7756E-17   1.0000E+00  p(59).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       591          2    2         60   0.0000E+00   0.0000E+00   1.0000E+00  p(60).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       592          3    2         60   3.3396E-13   3.3396E-13   1.0000E+00  p(60).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       593          4    2         60  -2.2204E-16  -2.2204E-16   1.0000E+00  p(60).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       594          5    2         60   6.9389E-18   6.9389E-18   1.0000E+00  p(60).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       595          6    2         60   2.3283E-10   2.3283E-10   1.0000E+00  p(60).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       596          7    2         60  -2.6193E-10  -2.6193E-10   1.0000E+00  p(60).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       597          8    2         60   7.1054E-15   7.1054E-15   1.0000E+00  p(60).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       598          9    2         60  -1.5515E-14  -1.5515E-14   1.0000E+00  p(60).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       599         10    2         60  -8.5265E-14  -8.5265E-14   1.0000E+00  p(60).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       600         11    2         60   0.0000E+00   0.0000E+00   1.0000E+00  p(60).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       601          2    2         61   2.7756E-17   2.7756E-17   1.0000E+00  p(61).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       602          3    2         61   4.2633E-14   4.2633E-14   1.0000E+00  p(61).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       603          4    2         61   0.0000E+00   0.0000E+00   1.0000E+00  p(61).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       604          5    2         61   0.0000E+00   0.0000E+00   1.0000E+00  p(61).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       605          6    2         61  -4.6566E-10  -4.6566E-10   1.0000E+00  p(61).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       606          7    2         61  -2.0373E-10  -2.0373E-10   1.0000E+00  p(61).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       607          8    2         61  -7.1054E-15  -7.1054E-15   1.0000E+00  p(61).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       608          9    2         61  -1.6570E-14  -1.6570E-14   1.0000E+00  p(61).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       609         10    2         61  -2.8422E-14  -2.8422E-14   1.0000E+00  p(61).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       610         11    2         61  -2.7756E-17  -2.7756E-17   1.0000E+00  p(61).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       611          2    2         62  -2.7756E-17  -2.7756E-17   1.0000E+00  p(62).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       612          3    2         62   6.8212E-13   6.8212E-13   1.0000E+00  p(62).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       613          4    2         62   2.2204E-16   2.2204E-16   1.0000E+00  p(62).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       614          5    2         62   0.0000E+00   0.0000E+00   1.0000E+00  p(62).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       615          6    2         62   4.6566E-10   4.6566E-10   1.0000E+00  p(62).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       616          7    2         62  -3.9290E-10  -3.9290E-10   1.0000E+00  p(62).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       617          8    2         62   2.1316E-14   2.1316E-14   1.0000E+00  p(62).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       618          9    2         62  -1.6709E-14  -1.6709E-14   1.0000E+00  p(62).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       619         10    2         62  -1.9895E-13  -1.9895E-13   1.0000E+00  p(62).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       620         11    2         62   2.7756E-17   2.7756E-17   1.0000E+00  p(62).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       621          2    2         63  -2.7756E-17  -2.7756E-17   1.0000E+00  p(63).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       622          3    2         63   3.9080E-13   3.9080E-13   1.0000E+00  p(63).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       623          4    2         63   0.0000E+00   0.0000E+00   1.0000E+00  p(63).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       624          5    2         63   0.0000E+00   0.0000E+00   1.0000E+00  p(63).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       625          6    2         63   0.0000E+00   0.0000E+00   1.0000E+00  p(63).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       626          7    2         63  -2.0373E-10  -2.0373E-10   1.0000E+00  p(63).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       627          8    2         63  -7.1054E-15  -7.1054E-15   1.0000E+00  p(63).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       628          9    2         63  -1.8929E-14  -1.8929E-14   1.0000E+00  p(63).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       629         10    2         63   1.9895E-13   1.9895E-13   1.0000E+00  p(63).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       630         11    2         63   2.7756E-17   2.7756E-17   1.0000E+00  p(63).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       631          2    2         64  -2.7756E-17  -2.7756E-17   1.0000E+00  p(64).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       632          3    2         64  -1.1902E-13  -1.1902E-13   1.0000E+00  p(64).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       633          4    2         64   6.6613E-16   6.6613E-16   1.0000E+00  p(64).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       634          5    2         64  -6.9389E-18  -6.9389E-18   1.0000E+00  p(64).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       635          6    2         64   0.0000E+00   0.0000E+00   1.0000E+00  p(64).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       636          7    2         64  -3.9290E-10  -3.9290E-10   1.0000E+00  p(64).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       637          8    2         64  -7.1054E-15  -7.1054E-15   1.0000E+00  p(64).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       638          9    2         64  -1.8541E-14  -1.8541E-14   1.0000E+00  p(64).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       639         10    2         64  -5.6843E-14  -5.6843E-14   1.0000E+00  p(64).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       640         11    2         64   2.7756E-17   2.7756E-17   1.0000E+00  p(64).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       641          2    2         65   0.0000E+00   0.0000E+00   1.0000E+00  p(65).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       642          3    2         65  -3.3751E-14  -3.3751E-14   1.0000E+00  p(65).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       643          4    2         65   2.2204E-16   2.2204E-16   1.0000E+00  p(65).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       644          5    2         65   6.9389E-18   6.9389E-18   1.0000E+00  p(65).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       645          6    2         65   0.0000E+00   0.0000E+00   1.0000E+00  p(65).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       646          7    2         65  -3.3469E-10  -3.3469E-10   1.0000E+00  p(65).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       647          8    2         65   1.4211E-14   1.4211E-14   1.0000E+00  p(65).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       648          9    2         65  -1.9817E-14  -1.9817E-14   1.0000E+00  p(65).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       649         10    2         65  -2.8422E-13  -2.8422E-13   1.0000E+00  p(65).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       650         11    2         65   0.0000E+00   0.0000E+00   1.0000E+00  p(65).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       651          2    2         66   0.0000E+00   0.0000E+00   1.0000E+00  p(66).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       652          3    2         66   4.9738E-13   4.9738E-13   1.0000E+00  p(66).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       653          4    2         66   0.0000E+00   0.0000E+00   1.0000E+00  p(66).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       654          5    2         66   0.0000E+00   0.0000E+00   1.0000E+00  p(66).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       655          6    2         66   0.0000E+00   0.0000E+00   1.0000E+00  p(66).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       656          7    2         66  -2.9104E-10  -2.9104E-10   1.0000E+00  p(66).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       657          8    2         66   1.4211E-14   1.4211E-14   1.0000E+00  p(66).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       658          9    2         66  -2.2149E-14  -2.2149E-14   1.0000E+00  p(66).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       659         10    2         66  -2.2737E-13  -2.2737E-13   1.0000E+00  p(66).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       660         11    2         66   0.0000E+00   0.0000E+00   1.0000E+00  p(66).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       661          2    2         67  -2.7756E-17  -2.7756E-17   1.0000E+00  p(67).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       662          3    2         67  -1.4211E-13  -1.4211E-13   1.0000E+00  p(67).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       663          4    2         67   0.0000E+00   0.0000E+00   1.0000E+00  p(67).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       664          5    2         67   6.9389E-18   6.9389E-18   1.0000E+00  p(67).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       665          6    2         67   0.0000E+00   0.0000E+00   1.0000E+00  p(67).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       666          7    2         67  -2.0373E-10  -2.0373E-10   1.0000E+00  p(67).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       667          8    2         67   0.0000E+00   0.0000E+00   1.0000E+00  p(67).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       668          9    2         67  -2.2315E-14  -2.2315E-14   1.0000E+00  p(67).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       669         10    2         67  -1.4211E-13  -1.4211E-13   1.0000E+00  p(67).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       670         11    2         67   2.7756E-17   2.7756E-17   1.0000E+00  p(67).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       671          2    2         68  -5.5511E-17  -5.5511E-17   1.0000E+00  p(68).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       672          3    2         68   3.2685E-13   3.2685E-13   1.0000E+00  p(68).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       673          4    2         68   0.0000E+00   0.0000E+00   1.0000E+00  p(68).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       674          5    2         68   6.9389E-18   6.9389E-18   1.0000E+00  p(68).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       675          6    2         68   4.6566E-10   4.6566E-10   1.0000E+00  p(68).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       676          7    2         68  -2.3283E-10  -2.3283E-10   1.0000E+00  p(68).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       677          8    2         68   1.4211E-14   1.4211E-14   1.0000E+00  p(68).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       678          9    2         68  -2.2371E-14  -2.2371E-14   1.0000E+00  p(68).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       679         10    2         68  -3.4106E-13  -3.4106E-13   1.0000E+00  p(68).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       680         11    2         68   5.5511E-17   5.5511E-17   1.0000E+00  p(68).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       681          2    2         69   2.7756E-17   2.7756E-17   1.0000E+00  p(69).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       682          3    2         69  -1.3145E-13  -1.3145E-13   1.0000E+00  p(69).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       683          4    2         69   2.2204E-16   2.2204E-16   1.0000E+00  p(69).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       684          5    2         69   0.0000E+00   0.0000E+00   1.0000E+00  p(69).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       685          6    2         69  -4.6566E-10  -4.6566E-10   1.0000E+00  p(69).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       686          7    2         69   0.0000E+00   0.0000E+00   1.0000E+00  p(69).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       687          8    2         69  -2.1316E-14  -2.1316E-14   1.0000E+00  p(69).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       688          9    2         69  -2.5369E-14  -2.5369E-14   1.0000E+00  p(69).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       689         10    2         69   2.8422E-13   2.8422E-13   1.0000E+00  p(69).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       690         11    2         69  -2.7756E-17  -2.7756E-17   1.0000E+00  p(69).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       691          2    2         70  -2.7756E-17  -2.7756E-17   1.0000E+00  p(70).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       692          3    2         70   7.1054E-14   7.1054E-14   1.0000E+00  p(70).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       693          4    2         70  -4.4409E-16  -4.4409E-16   1.0000E+00  p(70).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       694          5    2         70   1.3878E-17   1.3878E-17   1.0000E+00  p(70).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       695          6    2         70   4.6566E-10   4.6566E-10   1.0000E+00  p(70).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       696          7    2         70  -1.4552E-11  -1.4552E-11   1.0000E+00  p(70).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       697          8    2         70  -7.1054E-15  -7.1054E-15   1.0000E+00  p(70).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       698          9    2         70  -2.4647E-14  -2.4647E-14   1.0000E+00  p(70).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       699         10    2         70   1.9895E-13   1.9895E-13   1.0000E+00  p(70).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       700         11    2         70   2.7756E-17   2.7756E-17   1.0000E+00  p(70).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       701          2    2         71   0.0000E+00   0.0000E+00   1.0000E+00  p(71).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       702          3    2         71   6.7502E-13   6.7502E-13   1.0000E+00  p(71).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       703          4    2         71   0.0000E+00   0.0000E+00   1.0000E+00  p(71).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       704          5    2         71   0.0000E+00   0.0000E+00   1.0000E+00  p(71).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       705          6    2         71  -4.6566E-10  -4.6566E-10   1.0000E+00  p(71).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       706          7    2         71   1.1642E-10   1.1642E-10   1.0000E+00  p(71).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       707          8    2         71  -1.4211E-14  -1.4211E-14   1.0000E+00  p(71).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       708          9    2         71  -2.8033E-14  -2.8033E-14   1.0000E+00  p(71).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       709         10    2         71   4.5475E-13   4.5475E-13   1.0000E+00  p(71).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       710         11    2         71   0.0000E+00   0.0000E+00   1.0000E+00  p(71).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       711          2    2         72  -5.5511E-17  -5.5511E-17   1.0000E+00  p(72).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       712          3    2         72   6.3594E-13   6.3594E-13   1.0000E+00  p(72).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       713          4    2         72   4.4409E-16   4.4409E-16   1.0000E+00  p(72).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
       714          5    2         72   0.0000E+00   0.0000E+00   1.0000E+00  p(72).n(2).Eqn(5): 0 = $carbon-(-r_o-r_u*celln*vin/vout)
       715          6    2         72   4.6566E-10   4.6566E-10   1.0000E+00  p(72).n(2).Eqn(6): 0 = $celln-((r_g-r_mc)*celln)
       716          7    2         72  -4.0745E-10  -4.0745E-10   1.0000E+00  p(72).n(2).Eqn(7): 0 = $aa-(r_u*e_g*beta-r_a-r_g*aa)
       717          8    2         72   1.4211E-14   1.4211E-14   1.0000E+00  p(72).n(2).Eqn(8): 0 = $rprot-(r_r-r_g*rprot)
       718          9    2         72  -3.0087E-14  -3.0087E-14   1.0000E+00  p(72).n(2).Eqn(9): 0 = $xreg-(r_x-d_x*xreg-r_g*xreg)
       719         10    2         72  -1.4211E-13  -1.4211E-13   1.0000E+00  p(72).n(2).Eqn(10): 0 = $eprot-(r_e-r_g*eprot)
       720         11    2         72   5.5511E-17   5.5511E-17   1.0000E+00  p(72).n(2).Eqn(11): 0 = $int_growth_rate-(r_g)
       721          2    2         73   0.0000E+00   0.0000E+00   1.0000E+00  p(73).n(2).Eqn(2): 0 = r_g-(0)-slk_2
       722          3    2         73  -3.0198E-13  -3.0198E-13   1.0000E+00  p(73).n(2).Eqn(3): 0 = $h2o2_in-(f_u*(r_g+r_g0)-r_d-k_diff*(h2o2_in-h2o2_out))
       723          4    2         73   4.4409E-16   4.4409E-16   1.0000E+00  p(73).n(2).Eqn(4): 0 = $h2o2_out-(f_o*r_o+celln*k_diff*(h2o2_in-h2o2_out)*vin/(vout-celln*vin))
